Timestamp,Name,"On a scale of 1 to 7, how would you describe your level of experience as a musician? 1: No experience whatsoever; 3: Amateur (know the basics of an instrument(s) but practice/play irregularly); 5: Intermediate (have at least a couple years of experience, practice/play somewhat regularly); 7: Expert/Professional (several years of experience, practice/play daily, may pursue/have pursued a career in music)",How many instruments do you hear?,How many instruments do you hear?,How many instruments do you hear?,How many instruments do you hear?,How many instruments do you hear?,How many instruments do you hear?,How many instruments do you hear?,How many instruments do you hear?
12/1/2021 14:07:36,1,5,5,7,4,3,3,6,2,8
12/1/2021 14:34:02,2,4,4,4,4,3,3,4,4,6
12/1/2021 16:40:45,3,5,6,3,5,3,3,5,3,4
12/2/2021 22:20:10,4,5,7,5,5,4,3,5,4,5
12/3/2021 1:13:10,5,7,6,4,5,3,3,5,4,5
12/3/2021 11:19:49,6,5,7,5,5,4,3,4,4,4
12/3/2021 17:50:54,7,5,3,5,6,5,3,4,3,2
12/3/2021 18:13:13,8,5,7,4,4,4,3,6,4,3
12/3/2021 18:36:35,9,1,5,3,3,3,2,4,3,3
12/3/2021 18:40:51,10,5,4,2,4,5,3,2,2,4
12/3/2021 18:45:23,11,1,5,4,3,2,2,5,3,4
12/4/2021 15:00:13,12,5,4,3,4,3,3,4,3,3
12/5/2021 17:52:50,13,1,5,4,5,5,2,5,3,7
12/5/2021 21:58:57,14,1,5,4,4,3,3,5,2,3
12/6/2021 10:43:33,15,2,7,3,5,4,2,3,1,2
12/6/2021 11:39:07,16,7,6,5,5,4,3,7,4,5
12/6/2021 15:23:26,17,2,2,4,3,2,2,2,3,4
12/7/2021 20:44:37,18,3,5,5,6,3,3,4,2,3
12/8/2021 11:13:48,19,3,4,5,6,3,3,4,3,6
12/8/2021 15:55:41,20,5,6,4,5,4,3,4,3,3
